id,name_en,name_fr,category,arrondissement,latitude,longitude,visit_duration,budget_adult_eur,is_free,opening_hours,nearest_transit,station_step_free,site_wheelchair,accessible_toilet,status,official_url,source,last_verified,notes
eiffel-tower,Eiffel Tower,Tour Eiffel,Monument,7th (75007),48.8584,2.2945,2-3 h,€36.70 summit (lift); €23.50 2nd floor (lift); €14.80 stairs to 2nd,No,≈09:30-23:45 daily (extended in summer),RER C Champ de Mars-Tour Eiffel; M6 Bir-Hakeim,Partial (RER C Champ de Mars step-free; M6 Bir-Hakeim not),Partial (1st & 2nd floors by lift; summit not accessible),Yes,Open,https://www.toureiffel.paris/en,Official site + web search 2026-07-23,2026-07-23,Summit closed to wheelchair users. Book online in advance.
louvre,Louvre Museum,Musée du Louvre,Museum,1st (75001),48.8606,2.3376,3-4 h (half day),€22 (EEA residents); €32 (non-EEA),No,09:00-18:00; late to 21:45 Wed & Fri; closed Tue,M1/M7 Palais Royal-Musée du Louvre,Partial (line 14 Pyramides/Châtelet nearby are step-free),Yes (fully accessible; free for wheelchair users + 1 companion),Yes,Open,https://www.louvre.fr/en,Official site + web search 2026-07-23,2026-07-23,"New 2026 dual pricing (EEA vs non-EEA). Free under 18, EU 18-25, 1st Sat evening."
notre-dame,Notre-Dame Cathedral,Cathédrale Notre-Dame de Paris,Cathedral,4th (75004),48.853,2.3499,1 h (cathedral),Cathedral free; Bell Towers €16,Yes (cathedral),≈08:00-19:00 (free reservation online),M4 Cité; RER B/C Saint-Michel-Notre-Dame,Partial (Cité limited),"Yes (cathedral, step-free entrance); No (towers, ~424 steps)",Unknown (public toilets nearby),Open,https://www.notredamedeparis.fr/en/,Official site + web search 2026-07-23,2026-07-23,Reopened Dec 2024; towers reopened Sep 2025. Free timed reservation recommended.
arc-de-triomphe,Arc de Triomphe,Arc de Triomphe,Monument,8th (75008),48.8738,2.295,1 h,€16 (rooftop); free to view from below,No (rooftop),10:00-22:30 (seasonal),"M1/M2/M6, RER A Charles de Gaulle-Étoile",Partial,Partial (rooftop ~284 steps; lift for reduced-mobility visitors on request),Unknown,Open,https://www.paris-arc-de-triomphe.fr/en,Official site (CMN) + web search 2026-07-23,2026-07-23,"Reach the arch via the underground passage (no street crossing). Free under 18, EU 18-25."
musee-orsay,Musée d'Orsay,Musée d'Orsay,Museum,7th (75007),48.86,2.3266,2-3 h,€16 online (€14 on-site; €12 Thu evening),No,09:30-18:00 Tue-Sun; to 21:45 Thu; closed Mon,RER C Musée d'Orsay; M12 Solférino,Partial,Yes (accessible),Yes,Open,https://www.musee-orsay.fr/en,Official site + web search 2026-07-23,2026-07-23,"Free 1st Sunday of month; free under 18, EU 18-25. Reservation mandatory."
sacre-coeur,Sacré-Cœur Basilica,Basilique du Sacré-Cœur,Basilica,18th (75018),48.8867,2.3431,1-1.5 h,Basilica free; dome ≈€8 (confirm),Yes (basilica),06:30-22:30 (basilica),M2 Anvers + funicular; M12 Abbesses,No (hilltop; deep stations with stairs; funicular to summit),Partial (step-free side access to basilica; hill is difficult; dome not accessible),Unknown,Open,https://www.sacre-coeur-montmartre.com/english/,Official site + knowledge; dome price not re-verified,2026-07-23,Confirm dome price/access on official site. Funicular covered by a metro ticket.
sainte-chapelle,Sainte-Chapelle,Sainte-Chapelle,Monument,1st (75001),48.8554,2.345,45 min-1 h,€12 (combo with Conciergerie €20),No,09:00-19:00 (seasonal),M4 Cité; RER B/C Saint-Michel,Partial,"Partial (lower chapel step-free; upper chapel via spiral stairs, not accessible)",Unknown,Open,https://www.sainte-chapelle.fr/en,Official site (CMN) + web search 2026-07-23,2026-07-23,Airport-style security (active courthouse). Upper-chapel stained glass is the highlight.
pantheon,Panthéon,Panthéon,Monument,5th (75005),48.8462,2.3464,1 h,≈€13 (2025 estimate; confirm 2026),No,10:00-18:30 (seasonal),RER B Luxembourg; M10 Cardinal Lemoine,Partial,"Partial (nave accessible; dome via stairs, not accessible)",Unknown,Open,https://www.paris-pantheon.fr/en,Official site (CMN); 2026 price NOT verified,2026-07-23 (price is a 2025 estimate),"Price is a 2025 estimate, confirm 2026 on the official site. Crypt of French notables; Foucault pendulum."
jardin-luxembourg,Luxembourg Garden,Jardin du Luxembourg,Park,6th (75006),48.8462,2.3372,1 h,Free,Yes,"≈07:30-21:00 (seasonal, dawn-dusk)",RER B Luxembourg; M4 Saint-Sulpice,Partial,Yes (main paths; some gravel surfaces),Yes,Open,https://www.senat.fr/visite/jardin/index.html,Official site + knowledge,2026-07-23,Free public garden. Gravel paths can be hard for small wheels.
jardin-tuileries,Tuileries Garden,Jardin des Tuileries,Park,1st (75001),48.8635,2.3275,1 h,Free,Yes,≈07:00-21:00 (seasonal),M1 Tuileries / Concorde,Partial,Yes (mostly flat; gravel surfaces),Yes,Open,https://www.louvre.fr/en/explore/the-palace/the-tuileries-garden,Official site + knowledge,2026-07-23,Links the Louvre to Place de la Concorde. Gravel paths.
chateau-versailles,Palace of Versailles,Château de Versailles,Palace,"Versailles (78000, Yvelines)",48.8049,2.1204,half-full day,Passport €25 (low)-€35 (high); Palace only €21,No (palace); gardens free except fountain-show days,09:00-18:30; closed Mon,RER C Versailles Château Rive Gauche,Partial,Yes (accessible; free for disabled visitors + companion; adapted routes),Yes,Open,https://en.chateauversailles.fr,Official site + web search 2026-07-23,2026-07-23,Outside Paris (~40 min by RER C). EEA reduced rates. Gardens paid on Musical Fountains days.
galeries-lafayette,Galeries Lafayette Haussmann,Galeries Lafayette Haussmann,Shopping,9th (75009),48.8738,2.332,1-2 h,Free entry (shopping),Yes (entry),10:00-20:00; Sun 11:00-20:00,M7/M9 Chaussée d'Antin-La Fayette; RER A Auber,Partial,Yes (department store with lifts),Yes,Open,https://haussmann.galerieslafayette.com/en/,Official site + knowledge,2026-07-23,Belle Époque glass dome; free rooftop terrace with city views.
centre-pompidou,Centre Pompidou,Centre Pompidou,Museum,4th (75004),48.8607,2.3522,N/A,N/A (closed),N/A,Closed,M11 Rambuteau; M1/4/7/11/14 Châtelet,Partial,N/A (closed),N/A,CLOSED for renovation (22 Sep 2025 - 2030),https://www.centrepompidou.fr/en/,Official site + web search 2026-07-23,2026-07-23,Closed for a 5-year renovation until 2030. Collection shown at partner venues (Constellation programme). Do NOT recommend visiting.
